Country,Year,Population
Australia,1841,448667
Australia,1842,466619
Australia,1843,488381
Australia,1844,514000
Australia,1845,543952
Australia,1846,577619
Australia,1847,615190
Australia,1848,656238
Australia,1849,698667
Australia,1850,742619
Australia,1851,786732
Australia,1852,831228
Australia,1853,877298
Australia,1854,926037
Australia,1855,977302
Australia,1856,1030426
Australia,1857,1084839
Australia,1858,1141160
Australia,1859,1198912
Australia,1860,1256048
Australia,1861,1307041
Australia,1862,1358799
Australia,1863,1409274
Australia,1864,1458226
Australia,1865,1505275
Australia,1866,1550374
Australia,1867,1594712
Australia,1868,1637908
Australia,1869,1680440
Australia,1870,1724213
Australia,1871,1769178
Australia,1872,1816956
Australia,1873,1860078
Australia,1874,1910253
Australia,1875,1962852
Australia,1876,2017719
Australia,1877,2058146
Australia,1878,2116524
Australia,1879,2178966
Australia,1880,2253007
Australia,1881,2320568
Australia,1882,2400679
Australia,1883,2482996
Australia,1884,2562980
Australia,1885,2650339
Australia,1886,2738702
Australia,1887,2830380
Australia,1888,2920158
Australia,1889,3006483
Australia,1890,3088808
Australia,1891,3168315
Australia,1892,3245279
Australia,1893,3318788
Australia,1894,3387933
Australia,1895,3453440
Australia,1896,3516129
Australia,1897,3575727
Australia,1898,3632416
Australia,1899,3688197
Australia,1900,3743707
Australia,1901,3798583
Australia,1902,3851995
Australia,1903,3906036
Australia,1904,3962416
Australia,1905,4022248
Australia,1906,4086866
Australia,1907,4138959
Australia,1908,4213351
Australia,1909,4301164
Australia,1910,4408208
Australia,1911,4518260
Australia,1912,4667239
Australia,1913,4811885
Australia,1914,4915478
Australia,1915,4960323
Australia,1916,4966110
Australia,1917,4986587
Australia,1918,5066003
Australia,1919,5202210
Australia,1920,5345426
Australia,1921,5472619
Australia,1922,5585790
Australia,1923,5705305
Australia,1924,5828491
Australia,1925,5951010
Australia,1926,6074196
Australia,1927,6194712
Australia,1928,6305547
Australia,1929,6399355
Australia,1930,6473801
Australia,1931,6534894
Australia,1932,6588976
